,2010-2014,2015-2019,2020-2026
50/50 static,1.6394677221491825,1.1048961783244764,0.09115718073054503
inverse volatility,1.651876168282674,1.0579757412568525,0.07367298968316686
B2 AR(2),1.7835526694156814,1.0230669030303585,0.3339418090548852
M3 credit (CT),1.7669390708671886,1.0462156643058151,0.23460000014489604
M5 equity,1.7672921447086707,0.9010720138170644,0.12962176458096436
M6 encompassing,1.7985651218323415,0.8428729684934926,0.14110606583389018
spread only,1.7600315141823097,1.0504393600158262,0.31331627060991224
combination credit,1.845392372398464,0.9865397582307173,0.2766618561556529
