variant,n_is,n_oos,IS_equity_p,IS_credit_p,OOS_equity_R2,OOS_credit_R2,OOS_equity_R2_vs_B0,OOS_credit_R2_vs_B0,SR_equity,SR_credit,SR_spread,SR_5050
Baseline,384,196,0.12076899458508689,0.009347184206382564,-0.3188705079883032,0.06639257213257177,-0.4254894977614532,-0.009081312681006093,0.7048006088579571,0.780710114302622,0.8229840918330519,0.6616266677540252
R1 sample from 1997,351,196,0.06631166384602602,0.007879972291277083,-0.3215806661521554,0.07311174345532723,-0.4305071045748916,-0.0032836209647866266,0.7053896680866718,0.7698727370498466,0.8069230718394752,0.6616266677540252
R2 unsmoothed DV,384,196,0.08965626436500294,0.011153521112012078,-0.31789845962055163,0.028686943312924762,-0.3502799985323073,0.0048212112369766524,0.7066285614840208,0.6132797807097391,0.5356083722913629,0.6616266677540252
R3 lagged equity control,384,196,0.23782929749530268,0.014921566899316008,-0.3188705079883032,0.06639257213257177,-0.4254894977614532,-0.009081312681006093,0.7048006088579571,0.780710114302622,0.8229840918330519,0.6616266677540252
R5 oas_hy for oas_diff,384,196,0.25658530677501484,0.010237052120373447,-0.3188705079883032,0.06105761839995172,-0.4254894977614532,-0.014847550132545795,0.7048006088579571,0.8133959134689913,0.8511872151346268,0.6616266677540252
R6 EBP credit baseline,384,196,0.49267230048262867,0.023685721196905592,-0.3188705079883032,0.05402755903303358,-0.4254894977614532,-0.02244592748307639,0.7048006088579571,0.8251849120853485,0.8376133012015111,0.6616266677540252
R7 duration-hedged DV,373,196,0.2847049286543946,0.015600807254034704,-0.23470182790954452,0.12020178452005303,-0.44361299758322925,-0.02865980304552518,0.7365576440776402,0.8728221479816907,0.7352802448584242,0.7269316031146944
R8 crisis excluded,361,191,0.13023601295565812,0.15067314994891537,-0.009986816128021658,0.044328709253489196,-0.04576908837675675,0.010470752139861816,0.9404932371799543,0.8524374125535988,0.7775324500305517,0.7575586050843047
R9 controls restored,384,196,0.34566626876712203,0.028750324160739416,-0.3188705079883032,0.06639257213257177,-0.4254894977614532,-0.009081312681006093,0.7048006088579571,0.780710114302622,0.8229840918330519,0.6616266677540252
